atom	as	ip_num	range_num
0	0	16777216	1
1	0	15978752	510
2	0	2305	4
3	0	132608	8
4	0	256	1
5	1	9472	3
6	2	16842752	2
7	3	65536	1
8	3	256	1
9	4	197888	8
10	4	336384	8
11	4	512	2
12	5	66560	5
13	6	66304	4
14	7	132096	3
15	7	768	3
16	8	65536	1
17	9	107008	5
18	9	2816	3
19	9	14592	6
20	10	199680	8
21	10	48	2
22	11	273920	10
23	11	65536	1
24	12	131072	2
25	12	1024	1
26	13	266240	5
27	14	262144	4
28	15	69120	5
29	15	256	1
30	15	1024	1
31	16	65792	2
32	17	88064	41
33	17	8	1
34	17	90624	25
35	17	1536	3
36	18	256	1
37	19	256	1
38	19	12	2
39	19	65536	1
40	20	197888	7
41	20	256	1
42	21	196864	4
43	22	139264	3
44	23	131072	2
45	24	131584	4
46	24	256	1
47	25	327680	2
48	25	256	1
49	26	16842752	2
50	27	131072	2
51	28	256	1
52	29	68096	11
53	30	196608	3
54	31	199168	5
55	31	768	2
56	32	66048	3
57	33	197888	8
58	33	9728	7
59	34	132096	6
60	35	131328	3
61	35	2048	1
62	36	131840	5
63	37	65536	1
64	38	200448	18
65	38	32	2
66	38	2560	3
67	39	262144	4
68	39	65536	1
69	40	262400	5
70	41	2048	1
71	41	80	2
72	42	265472	17
73	43	68864	8
74	44	65536	1
75	45	140288	7
76	45	512	2
77	45	256	1
78	46	65536	1
79	47	16918272	22
80	47	1600000	13
81	47	25856	7
82	47	512	2
83	47	256	1
84	47	256	1
85	47	256	1
86	47	1024	4
87	48	282880	78
88	48	131328	3
89	48	70912	7
90	48	3072	12
91	49	221184	6
92	49	256	1
93	50	196608	3
94	51	1536	3
95	51	256	1
96	52	65536	1
97	53	16777216	1
98	53	512	2
99	54	4117248	33
100	54	131072	2
101	54	1024	2
102	55	66304	4
103	55	128	1
104	56	132096	6
105	57	262144	4
106	58	140544	10
107	59	133632	8
108	59	512	2
109	60	37632	21
110	61	17408	31
111	61	352	6
112	62	65536	1
113	63	512	1
114	63	256	1
115	64	256	1
116	64	256	1
117	64	8192	1
118	64	256	4
119	65	13824	7
120	66	66048	3
121	67	150272	13
122	68	73472	17
123	69	676608	13
124	69	176384	8
125	69	98304	2
126	69	16384	1
127	69	16384	1
128	69	1024	1
129	70	168704	11
130	71	256	1
131	72	98560	10
132	72	65536	9
133	73	131840	5
134	74	484608	41
135	75	262400	5
136	75	256	1
137	76	66048	3
138	76	256	1
139	77	196608	3
140	77	18432	2
141	77	196864	4
142	77	256	1
143	78	1382144	42
144	78	1258240	41
145	78	256	1
146	80	135424	4
147	81	11776	5
148	81	512	1
149	82	132864	9
150	83	2304	9
151	83	143616	7
152	83	512	2
153	83	49408	5
154	83	65536	1
155	83	40	2
156	83	256	1
157	83	512	2
158	83	256	1
159	84	256	1
160	85	5376	3
161	85	12544	3
162	85	8448	2
163	86	196864	4
164	87	65536	1
165	88	1536	6
166	89	65536	1
167	90	8704	2
168	91	18823168	51
169	91	1536	6
170	92	131328	3
171	94	136960	12
172	94	256	1
173	94	256	1
174	95	1280	5
175	95	256	1
176	96	131840	5
177	97	137984	7
178	97	1024	4
179	97	256	1
180	97	704	8
181	97	128	5
182	97	256	1
183	97	256	1
184	98	361472	12
185	98	2048	1
186	99	74752	6
187	100	8448	2
188	101	65536	1
189	101	57344	3
190	102	12288	6
191	103	8007168	368
192	103	79296	621
193	103	8960	4
194	103	32	1
195	103	256	1
196	103	256	1
197	104	1900288	30
198	104	69888	8
199	104	12	3
200	105	328192	7
201	106	256	1
202	107	1114880	14
203	108	133632	12
204	108	512	2
205	109	784896	41
206	109	1280	4
207	109	2048	2
208	109	512	1
209	109	4096	16
210	110	65792	2
211	111	14	5
212	111	1280	2
213	112	18056960	21
214	112	393984	9
215	112	117760	21
216	112	512	2
217	112	221952	23
218	112	256	1
219	112	81152	18
220	112	6656	9
221	112	6144	2
222	113	131072	2
223	113	67328	8
224	113	1024	1
225	114	285696	47
226	115	133120	10
227	116	65536	1
228	116	32	1
229	117	256	1
230	117	768	3
231	119	1024	1
232	120	66048	3
233	121	66816	6
234	122	982016	52
235	122	67584	78
236	122	2048	7
237	122	256	1
238	122	12288	2
239	123	66048	3
240	123	65536	1
241	124	268032	20
242	124	512	2
243	124	65792	2
244	124	128	2
245	124	4096	1
246	124	64	1
247	125	16384	1
248	126	256	1
249	127	135424	4
250	128	66816	6
251	128	256	1
252	129	264448	9
253	129	22784	9
254	130	461056	11
255	130	17920	69
256	131	65792	2
257	131	1536	3
258	132	196608	3
259	133	878848	37
260	133	256	1
261	134	197888	8
262	135	199680	5
263	136	206080	9
264	137	512	2
265	137	2304	5
266	138	512	2
267	140	1587456	108
268	140	1146112	132
269	140	16384	64
270	140	768	3
271	140	512	2
272	140	256	1
273	141	256	1
274	142	1094656	19
275	142	4096	1
276	143	526080	15
277	143	786688	13
278	143	131328	3
279	143	131328	3
280	143	131072	2
281	143	65536	1
282	143	131072	2
283	143	65536	1
284	143	256	1
285	144	256	1
286	145	5632	7
287	145	65536	1
288	146	273664	17
289	146	512	2
290	146	512	2
291	146	256	1
292	147	614656	40
293	148	197632	7
294	148	128	1
295	149	16384	19
296	150	6144	7
297	151	65536	1
298	152	62976	16
299	152	65536	1
300	152	218112	14
301	152	196608	3
302	152	284672	46
303	152	66048	3
304	152	88	7
305	153	2232064	35
306	154	256	1
307	154	256	1
308	155	65536	1
309	155	65536	1
310	156	181504	11
311	156	74496	4
312	156	256	1
313	157	2144512	72
314	158	65536	1
315	159	38897920	238
316	159	8388608	4
317	159	8448	2
318	159	768	3
319	159	25198592	3
320	160	1536	6
321	161	2108672	308
322	161	65792	2
323	161	1024	4
324	161	256	1
325	163	196608	3
326	164	10240	2
327	165	528384	9
328	165	256	1
329	165	256	1
330	166	265728	18
331	166	1280	5
332	167	65536	1
333	167	256	1
334	168	131328	3
335	169	7936	31
336	169	2048	4
337	170	197376	6
338	170	69120	15
339	170	11008	11
340	171	68096	11
341	172	135424	10
342	172	1024	4
343	172	512	1
344	173	6400	25
345	173	1024	4
346	173	256	1
347	174	131328	2
348	174	1024	3
349	175	214272	9
350	175	256	1
351	175	256	1
352	176	4608	3
353	176	256	1
354	177	132352	3
355	178	8448	2
356	178	8863232	238
357	179	131840	5
358	179	768	3
359	180	336384	12
360	180	256	1
361	181	41472	4
362	181	135680	13
363	181	32768	1
364	181	3072	12
365	181	67584	3
366	182	256	1
367	183	458752	8
368	184	307968	510
369	184	768	2
370	184	1536	4
371	185	81664	8
372	185	11008	9
